epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,5478.8,0.90957,0.60061,1.05497,0.85428,0.78286,0.85453,0.6478,1.03553,0.74098,1.10412,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,5539.52,0.91009,0.60321,1.05648,0.85003,0.78471,0.85607,0.64752,1.03452,0.73965,1.10363,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,5599.88,0.90381,0.59786,1.05546,0.85298,0.78109,0.85389,0.64641,1.03668,0.74311,1.10521,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,5668.66,0.76942,0.43431,0.96838,0.85121,0.78164,0.85299,0.64654,1.03626,0.74487,1.10858,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,5727.97,0.76379,0.43275,0.96722,0.85214,0.77749,0.85057,0.64595,1.03554,0.74867,1.11029,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,5787.42,0.76102,0.43222,0.96533,0.85523,0.77138,0.84926,0.64502,1.03456,0.75013,1.11114,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,5846.63,0.75823,0.42938,0.96422,0.85574,0.77492,0.85208,0.64694,1.03394,0.74526,1.11029,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,5905.89,0.75553,0.42658,0.96446,0.85705,0.77725,0.85247,0.64613,1.03315,0.74433,1.11013,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,5965.23,0.755,0.42257,0.96073,0.85379,0.78142,0.8525,0.64663,1.03067,0.74517,1.10957,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,6024.56,0.75461,0.42368,0.96163,0.85064,0.78287,0.85207,0.64618,1.02985,0.74558,1.10967,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,6083.92,0.7589,0.42591,0.96395,0.85021,0.78397,0.85169,0.64679,1.02948,0.74482,1.10943,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,6143.34,0.75678,0.42377,0.96247,0.85236,0.78257,0.85212,0.64695,1.02949,0.74416,1.1097,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
